playerId,season,name,xGoals,goals,Wins,name
8478916,2022,Joey Daccord,12.44,13,2,Daccord
8474636,2022,Michael Hutchinson,47.2,54,2,Hutchinson
8477992,2022,Jonas Johansson,8.92,5,2,Johansson
8480238,2022,Jiri Patera,7,5,2,Patera
8482821,2022,Arvid Soderblom,44.21,48,2,Soderblom
8480981,2022,Joel Hofer,17.31,17,3,Hofer
8478902,2022,Erik Kallgren,24.43,25,3,Kallgren
8478433,2022,Felix Sandstrom,57.22,69,3,Sandstrom
8481668,2022,Arturs Silovs,13.23,14,3,Silovs
8480843,2022,Lukas Dostal,66.68,67,4,Dostal
8481031,2022,Ivan Prosvetov,26.28,28,4,Prosvetov
8480193,2022,Daniil Tarasov,49.68,57,4,Tarasov
8476433,2022,Magnus Hellberg,46.1,50,5,Hellberg
8482221,2022,Devon Levi,24.12,21,5,Levi
8477968,2022,Alex Nedeljkovic,40.15,49,5,Nedeljkovic
8477361,2022,Cal Petersen,24.71,34,5,Petersen
8483530,2022,Jaxson Stauber,18.56,17,5,Stauber
8476932,2022,Anthony Stolarz,51.39,51,5,Stolarz
8481035,2022,Samuel Ersson,34.68,33,6,Ersson
8478971,2022,Connor Ingram,92.68,89,6,Ingram
8479361,2022,Joseph Woll,20.67,15,6,Woll
8476316,2022,Laurent Brossoit,28.89,23,7,Brossoit
8471306,2022,Thomas Greiss,60.57,66,7,Greiss
8478007,2022,Elvis Merzlikins,84.13,110,7,Merzlikins
8480925,2022,Pavel Francouz,41.43,42,8,Francouz
8481544,2022,Mads Sogaard,53.17,58,8,Sogaard
8477480,2022,Eric Comrie,61.14,68,9,Comrie
8478039,2022,Kaapo Kahkonen,110.42,135,9,Kahkonen
8481519,2022,Spencer Knight,57.52,62,9,Knight
8480947,2022,Kevin Lankinen,57.57,49,9,Lankinen
8479312,2022,Alex Lyon,50.53,43,9,Lyon
8479496,2022,David Rittich,46.06,50,9,Rittich
8481033,2022,Akira Schmid,40.18,32,9,Schmid
8471774,2022,Alex Stalock,71.79,74,9,Stalock
8475809,2022,Scott Wedgewood,55.54,51,9,Wedgewood
8478406,2022,Mackenzie Blackwood,59.14,60,10,Blackwood
8480420,2022,Collin Delia,57.73,62,10,Delia
8470860,2022,Jaroslav Halak,67.09,66,10,Halak
8475852,2022,Petr Mrazek,125.69,132,10,Mrazek
8467950,2022,Craig Anderson,76.43,76,11,Anderson
8476341,2022,Anton Forsberg,88.08,80,11,Forsberg
8477484,2022,Spencer Martin,83.47,107,11,Martin
8473575,2022,Semyon Varlamov,63.55,60,11,Varlamov
8470880,2022,Brian Elliott,70.22,75,12,Elliott
8481611,2022,Pyotr Kochetkov,61.92,57,12,Kochetkov
8473503,2022,James Reimer,135.69,147,12,Reimer
8479292,2022,Charlie Lindgren,82.08,86,13,Lindgren
8477967,2022,Thatcher Demko,93.35,99,14,Demko
8476434,2022,John Gibson,188.47,200,14,Gibson
8483575,2022,Matt Murray,24,26,14,Murray
8478435,2022,Dan Vladar,63.59,72,14,Vladar
8479193,2022,Casey DeSmith,111.88,109,15,DeSmith
8478499,2022,Adin Hill,62.87,62,16,Hill
8478470,2022,Sam Montembeault,144.85,133,16,Montembeault
8471734,2022,Jonathan Quick,109.83,127,16,Quick
8475831,2022,Philipp Grubauer,97.32,98,17,Grubauer
8480045,2022,Ukko-Pekka Luukkonen,109.99,115,17,Luukkonen
8475660,2022,Cam Talbot,94.27,95,17,Talbot
8476914,2022,Joonas Korpisalo,116.74,104,18,Korpisalo
8478872,2022,Karel Vejmelka,179.09,168,18,Vejmelka
8477293,2022,Antti Raanta,59.32,58,19,Raanta
8475883,2022,Frederik Andersen,78.55,82,21,Andersen
8475789,2022,Jack Campbell,96.72,115,21,Campbell
8480313,2022,Logan Thompson,96.08,96,21,Thompson
8479406,2022,Filip Gustavsson,105.16,81,22,Gustavsson
8479394,2022,Carter Hart,165.28,155,22,Hart
8475311,2022,Darcy Kuemper,162.76,154,22,Kuemper
8474593,2022,Jacob Markstrom,162.9,166,23,Markstrom
8475683,2022,Sergei Bobrovsky,151.2,145,24,Bobrovsky
8477831,2022,Pheonix Copley,96.7,92,24,Copley
8470594,2022,Marc-Andre Fleury,132.55,126,24,Fleury
8477465,2022,Tristan Jarry,125.18,128,24,Jarry
8480280,2022,Jeremy Swayman,100,76,24,Swayman
8478024,2022,Ville Husso,152.31,167,26,Husso
8476412,2022,Jordan Binnington,184.84,194,27,Binnington
8474889,2022,Martin Jones,124.08,131,27,Jones
8478492,2022,Ilya Samsonov,114.05,96,27,Samsonov
8479973,2022,Stuart Skinner,139.75,133,29,Skinner
8478009,2022,Ilya Sorokin,178.65,140,31,Sorokin
8477424,2022,Juuse Saros,217.67,171,33,Saros
8477970,2022,Vitek Vanecek,124.07,119,33,Vanecek
8476883,2022,Andrei Vasilevskiy,184.34,159,34,Vasilevskiy
8476945,2022,Connor Hellebuyck,187.77,157,37,Hellebuyck
8479979,2022,Jake Oettinger,155.82,144,37,Oettinger
8478048,2022,Igor Shesterkin,172.05,144,37,Shesterkin
8480382,2022,Alexandar Georgiev,177.92,156,40,Georgiev
8476999,2022,Linus Ullmark,133.45,91,40,Ullmark
8474596,2022,Jake Allen,143.07,145,15,Allen
